,,,,,,,,
Story Link,TC ID,Test Case (Title),Pre Condition,Steps,Expected Result,Execution Result,Bug?,Prioridade
MUN-5,TC002,"[Validação] E-mail Duplicado: 
Mensagem de erro correta (RF-003).","E-mail de teste já
 existe no banco.","1. Preencher formulário usando o e-mail já existente.
 2. Clicar em ""Cadastrar"".","O sistema deve impedir o cadastro e exibir a
 mensagem de erro: ""Este e-mail já está cadastrado"".",PASSED,link do bug no jira,ALTA
MUN-5,TC003,"[Validação] Formato de E-mail 
INVÁLIDO ao perder o foco (RF-002).","Usuário na tela de 
Cadastro.","1. Inserir e-mail em formato inválido (ex: teste@teste). 
2. Tocar fora do campo (perder o foco).","Uma mensagem de erro deve ser exibida abaixo 
do campo: ""Formato de e-mail inválido"".",PASSED,link do bug no jira,ALTA
MUN-5,TC004,"[UX] Alternar Visibilidade da Senha 
(Ícone ""olho"") (RNF-004).","Usuário digitando no 
campo Senha.","1. Digitar uma senha. 
2. Tocar no ícone de ""olho"" para revelar. 
3. Tocar novamente para ocultar.","A visibilidade da senha deve ser alternada 
corretamente (texto visível ↔ bolinhas/asteriscos).",FAILED,link do bug no jira,ALTA
MUN-5,TC006,"[Validação] Campos Obrigatórios 
Vazios: Bloqueio do cadastro.","Usuário na tela de 
Cadastro.","1. Deixar os campos Nome, E-mail e Senha 
vazios. 2. Clicar em ""Cadastrar"".","O sistema deve bloquear a submissão e exibir 
mensagens de erro para todos os campos vazios.",PASSED,,ALTA
MUN-5,TC007,"[Validação] Senha Mínima:
 Verificar limite de caracteres.","Usuário na tela de 
Cadastro.","1. Inserir Nome e E-mail válidos. 
2. Inserir uma senha abaixo do limite mínimo.","O sistema deve exibir uma mensagem de 
erro abaixo do campo Senha 
(Ex: ""A senha deve ter no mínimo 6 caracteres"").",PASSED,link do bug no jira,ALTA
MUN-5,TC008,"[UX] Posicionamento e Clareza das 
Mensagens de Erro (RNF-003).","Campos do formulário 
estão em estado de erro.","1. Forçar um erro em cada campo individualmente. 
2. Forçar erros em todos os campos.","Todas as mensagens de erro devem estar claras 
e posicionadas diretamente abaixo do campo 
correspondente.",PASSED,link do bug no jira,Média
MUN-5,TC009,"[UX] Comportamento do Botão 
durante o Carregamento (RNF-005).","Usuário preencheu
 os dados.","1. Clicar em ""Cadastrar"".
 2. Observar o botão durante a requisição.","O botão ""Cadastrar"" deve ser desabilitado e/ou
 exibir um indicador de carregamento (spinner)
 para evitar cliques duplos.",FAILED,link do bug no jira,Média
MUN-5,TC0011,"[Validação] E-mail Válido no Limite 
Inferior (Ex: a@b.co).","Usuário na tela de 
Cadastro.","1. Inserir um e-mail com o mínimo de caracteres 
para ser válido (Ex: a@b.com). 2. Perder o foco.","Nenhuma mensagem de erro deve ser exibida e
 o campo deve ser considerado válido.",PASSED,link do bug no jira,ALTA
MUN-5,TC0012,"[Validação] E-mail com Limite Máximo
 de Caracteres.","Usuário na tela de
Cadastro.","1. Inserir um e-mail com o número máximo de 
caracteres permitido pelo backend.","O campo deve aceitar e o cadastro deve ser 
finalizado com sucesso (TC001).",PASSED,link do bug no jira,ALTA
MUN-5,TC0013,"[Validação] Senha com Caracteres 
Especiais.","Usuário na tela de 
Cadastro.","1. Inserir uma senha que contenha caracteres
 especiais (ex: Senha!@#123). 
2. Submeter o cadastro.","O cadastro deve ser finalizado com sucesso
 (TC001).",PASSED,link do bug no jira,ALTA
MUN-5,TC0014,"[Validação] Campo Nome Vazio
, E-mail e Senha Válidos.","Usuário na tela de 
Cadastro.","1. Deixar o campo Nome vazio. 
2. Preencher E-mail e Senha válidos. 
3. Clicar em ""Cadastrar"".","O sistema deve exibir mensagem de erro apenas
 no campo Nome (Campo obrigatório).",NÃO EXECUTADO,,Média
MUN-5,TC0017,"[Validação] Case Sensitivity 
(Diferenciação de Maiúsculas/Minúsculas).","Usuário na tela de 
Cadastro.","1. Cadastrar um e-mail com letras maiúsculas (Ex: Teste@email.com).
 2. Tentar cadastrar teste@email.com (apenas minúsculas).","O sistema não deve permitir o segundo cadastro, 
pois e-mails são geralmente tratados como não 
case-sensitive (o email é o mesmo) ou deve seguir 
a regra definida pela API.",PASSED,link do bug no jira,Média
MUN-5,TC0018,"[Validação] Nome com Caracteres 
Especiais ou Números.","Usuário na tela de
 Cadastro.","1. Inserir no campo Nome: João 123 ou
 Maria!@#. 
2. Submeter o cadastro.","O sistema deve aceitar se a regra for permitir ou 
exibir uma mensagem de erro clara se a regra for 
apenas letras para o campo Nome.",PASSED,,Média
